Year,total_deaths,total_affected,disaster_count,tavg
1900,1267500.0,0.0,7,
1901,200018.0,24.0,2,
1902,48438.0,142652.0,10,
1903,7136.0,60023.0,12,
1904,152.0,3969.0,4,
1905,20987.0,22295.0,8,
1906,33657.0,120482.0,13,
1907,1313200.0,90000.0,3,
1908,75033.0,150000.0,3,
1909,1506356.0,3345.0,17,
1910,148993.0,32000.0,17,
1911,103705.0,1687.0,10,
1912,52093.0,115715.0,6,
1913,1962.0,112.0,6,
1914,4422.0,54309.0,8,
1915,32337.0,3000022.0,7,
1916,481.0,2153.0,3,
1917,2523561.0,635475.0,8,
1918,460950.0,2000000.0,8,
1919,5500.0,0.0,5,
1920,3206872.0,20000167.0,12,
1921,1200000.0,5000000.0,2,
1922,101175.0,11417.0,8,
1923,254286.0,18230033.0,16,
1924,303279.0,1012390.0,9,
1925,6972.0,17628.0,13,
1926,427852.0,40000.0,16,
1927,53270.0,253494.0,10,
1928,3004895.0,8209.0,17,
1929,3330.0,1121.0,5,
1930,11078.0,52424.0,23,
1931,3718976.0,36000.0,14,
1932,4917.0,30701.0,13,
1933,31442.0,3600150.0,11,
1934,5711.0,0.0,8,
1935,274119.0,10313092.0,16,
1936,5886.0,221516.0,20,
1937,12450.0,7700.0,10,
1938,2208.0,6430.0,7,
1939,563205.0,71587.0,12,
1940,23150.0,84705.0,21,
1941,13002.0,46292.0,13,
1942,1604426.0,135.0,12,
1943,1912974.0,77348.0,16,
1944,16172.0,263673.0,15,
1945,11358.0,1906365.0,17,
1946,35563.0,6384.0,17,
1947,17650.0,35020.0,14,
1948,120828.0,765028.0,25,
1949,123774.0,299641.0,21,
1950,6845.0,10886529.0,27,
1951,18227.0,734580.0,31,
1952,6886.0,1006727.0,29,
1953,12997.0,3394062.0,37,
1954,41847.0,437446.0,33,
1955,5556.0,405729.0,32,
1956,7737.0,1079589.0,36,
1957,10580.0,536770.0,28,
1958,4061.0,29426.0,24,
1959,2013208.0,1514863.0,33,
1960,38624.0,2843827.0,39,
1961,17381.0,1313555.0,29,
1962,17239.0,173454.0,29,
1963,37431.0,6195627.0,44,
1964,12892.0,7902125.0,63,
1965,1565529.0,123102411.0,68,
1966,17218.0,12408584.0,84,
1967,10045.0,6717701.0,80,
1968,22174.0,26648067.0,83,
1969,11714.0,12549395.0,83,
1970,387089.0,47204706.0,82,
1971,18087.0,11587028.0,63,
1972,20058.0,219044850.0,63,
1973,129594.0,12118984.0,65,
1974,68525.0,44838613.0,72,
1975,26858.0,51139393.0,67,
1976,280480.0,28562364.0,99,
1977,22424.0,23834819.0,141,
1978,38096.0,54882154.0,137,
1979,7315.0,61737371.0,122,
1980,25998.0,92766599.0,144,
1981,116970.0,34557432.0,146,
1982,14036.0,168881533.0,150,
1983,461061.0,68931821.0,206,
1984,15673.0,63407125.0,156,
1985,60231.0,27998412.0,175,
1986,10349.0,32401810.0,174,
1987,21524.0,374242525.0,227,
1988,57454.0,206642826.0,234,
1989,12611.0,172727508.0,189,
1990,53133.0,95859592.0,303,
1991,189707.0,274656628.0,266,
1992,18913.0,68177785.0,232,
1993,21821.0,171861612.0,267,
1994,15590.0,273925024.0,255,
1995,27166.0,222740396.0,277,
1996,31595.0,221607322.0,273,
1997,30024.0,68794749.0,323,
1998,62673.0,343760979.0,363,
1999,76906.0,285298850.0,416,
2000,16639.0,171035753.0,523,
2001,39502.0,109474404.0,447,
2002,21699.0,658663536.0,532,
2003,113133.0,255088753.0,392,
2004,244905.0,161882974.0,405,
2005,94533.0,160753327.0,498,10.75
2006,28795.0,126232835.0,446,
2007,22420.0,212864303.0,449,
2008,242288.0,221841930.0,400,4.3
2009,16085.0,201789261.0,384,10.8
2010,329800.0,270691421.0,441,16.7
2011,34143.0,209261708.0,357,15.15
2012,11668.0,116238553.0,370,
2013,22159.0,99385853.0,353,13.8
2014,20922.0,142024462.0,348,
2015,24308.0,431051337.0,398,9.6
2016,10714.0,205445118.0,350,12.559999999999999
2017,11906.0,104214790.0,371,9.866666666666667
2018,15014.0,85664789.0,338,12.716666666666667
2019,22455.0,109251946.0,442,11.927272727272726
2020,15288.0,95749597.0,398,12.6
2021,9795.0,62171331.0,315,11.345454545454546
