Country,Temp_moyenne,Temp_max,Nb_catastrophes,Catastrophe_principale
Afghanistan,17.780052591906333,25.57648422497057,205,Flood
Albania,17.71102615352832,21.626073132931936,44,Earthquake
Algeria,17.912317014806977,22.58206389408609,89,Flood
American Samoa,18.42257073311335,20.476534866226714,6,Storm
Angola,17.49411407750126,24.07237180242106,74,Flood
Anguilla,18.36962056470612,25.57648422497057,14,Storm
Antigua and Barbuda,17.540688040107636,20.393805008750448,13,Storm
Argentina,17.56104878309421,23.18564562903004,125,Flood
Armenia,19.69272903077883,25.57648422497057,12,Storm
Australia,17.81259812232026,25.57648422497057,247,Storm
Austria,18.256218882766632,21.626073132931936,53,Storm
Azerbaijan,18.422270468270977,24.07237180242106,16,Flood
Azores Islands,14.874859825134818,18.873352577681736,6,Earthquake
Bahamas (the),17.297295003588694,23.18564562903004,28,Storm
Bahrain,25.57648422497057,25.57648422497057,1,Epidemic
Bangladesh,17.955964770668487,25.57648422497057,356,Storm
Barbados,16.714807435560854,21.353094684667223,13,Storm
Belarus,18.030755954035175,25.57648422497057,14,Extreme temperature 
Belgium,17.26537735215081,22.055788089483038,73,Storm
Belize,17.979629981201498,25.57648422497057,22,Storm
Benin,17.858411829060486,25.57648422497057,52,Epidemic
Bermuda,17.41661842143923,21.77928731162801,6,Storm
Bhutan,17.631927031848353,21.48728998106578,12,Flood
Bolivia (Plurinational State of),18.09801367238054,25.57648422497057,102,Flood
Bosnia and Herzegovina,18.328745167515986,23.18564562903004,26,Flood
Botswana,18.410032967744048,22.58206389408609,23,Flood
Brazil,17.729633854188958,25.57648422497057,251,Flood
Brunei Darussalam,20.496972249101567,20.496972249101567,1,Wildfire
Bulgaria,18.241199339498674,22.055788089483038,50,Flood
Burkina Faso,17.803266418111587,22.58206389408609,65,Epidemic
Burundi,17.83722295024767,21.77928731162801,62,Flood
Cabo Verde,18.16347798965545,20.72046041988205,21,Drought
Cambodia,17.563765746012628,22.58206389408609,42,Flood
Cameroon,18.020020033855953,22.58206389408609,54,Epidemic
Canada,17.52542639571892,25.57648422497057,144,Storm
Canary Is,17.51992723233854,20.915100781445528,8,Storm
Cayman Islands (the),17.59424471006115,20.496972249101567,7,Storm
Central African Republic,18.209472285372655,24.07237180242106,44,Flood
Chad,17.46620900567164,24.07237180242106,64,Epidemic
Chile,17.660705533401703,24.07237180242106,118,Flood
China,17.81250400448139,25.57648422497057,980,Storm
Colombia,18.064590063315865,25.57648422497057,206,Flood
Comoros (the),18.35171661505248,21.05810171362908,25,Storm
Congo (the Democratic Republic of the),17.739207212235158,25.57648422497057,140,Epidemic
Congo (the),16.874030575900015,23.18564562903004,34,Epidemic
Cook Islands (the),18.080842168799762,22.453866065373543,14,Storm
Costa Rica,17.743037689635845,25.57648422497057,75,Flood
Croatia,17.91528089936439,22.58206389408609,30,Flood
Cuba,17.608339953714836,22.58206389408609,86,Storm
Cyprus,19.218549885623027,25.57648422497057,15,Storm
Czech Republic (the),18.69033410121759,23.18564562903004,29,Flood
Czechoslovakia,18.73409364826616,21.13080423540415,9,Extreme temperature 
CÃ´te dâIvoire,17.762823512894006,25.57648422497057,30,Epidemic
Denmark,17.446136356387647,22.453866065373543,16,Storm
Djibouti,18.595719928399124,24.07237180242106,26,Drought
Dominica,17.243634537065766,24.07237180242106,15,Storm
Dominican Republic (the),17.77508561648681,22.453866065373543,83,Storm
Ecuador,17.757983027892465,25.57648422497057,107,Flood
Egypt,17.529402228766067,23.18564562903004,36,Flood
El Salvador,17.75162235636567,25.57648422497057,72,Storm
Equatorial Guinea,19.480825733249706,19.480825733249706,1,Epidemic
Eritrea,19.56677311625733,24.07237180242106,8,Drought
Estonia,19.558397048804558,21.626073132931936,4,Extreme temperature 
Ethiopia,18.044426106192116,25.57648422497057,121,Flood
